"Genus","swab_type2","detection_prevalence","n_detected","n_samples"
"Propionibacterium","Eswab",0,0,10
"Propionibacterium","Omni",0,0,10
"Propionibacterium","Puritan_buffer",0,0,10
"Propionibacterium","Puritan_gel",0.1,1,10
"Propioniciclava","Copan",0,0,10
"Propioniciclava","Eswab",0,0,10
"Propioniciclava","Omni",0.1,1,10
"Propioniciclava","Puritan_buffer",0,0,10
"Propioniciclava","Puritan_gel",0,0,10
"Proteocatella","Copan",0,0,10
"Proteocatella","Eswab",0,0,10
"Proteocatella","Omni",0,0,10
"Proteocatella","Puritan_buffer",0,0,10
"Proteocatella","Puritan_gel",0.1,1,10
"Pseudaminobacter","Copan",0,0,10
"Pseudaminobacter","Eswab",0,0,10
"Pseudaminobacter","Omni",0,0,10
"Pseudaminobacter","Puritan_buffer",0,0,10
"Pseudaminobacter","Puritan_gel",0.1,1,10
"Pseudoclavibacter","Copan",0.1,1,10
"Pseudoclavibacter","Eswab",0.3,3,10
"Pseudoclavibacter","Omni",0.2,2,10
"Pseudoclavibacter","Puritan_buffer",0.2,2,10
"Pseudoclavibacter","Puritan_gel",0.2,2,10
"Pseudomonas","Copan",0.3,3,10
"Pseudomonas","Eswab",0,0,10
"Pseudomonas","Omni",0.2,2,10
"Pseudomonas","Puritan_buffer",0.2,2,10
"Pseudomonas","Puritan_gel",0.4,4,10
"Pseudonocardia","Copan",0.1,1,10
"Pseudonocardia","Eswab",0.1,1,10
"Pseudonocardia","Omni",0.2,2,10
"Pseudonocardia","Puritan_buffer",0.2,2,10
"Pseudonocardia","Puritan_gel",0.2,2,10
"Pseudopropionibacterium","Copan",0,0,10
"Pseudopropionibacterium","Eswab",0.1,1,10
"Pseudopropionibacterium","Omni",0,0,10
"Pseudopropionibacterium","Puritan_buffer",0,0,10
"Pseudopropionibacterium","Puritan_gel",0,0,10
"Pseudorhodoplanes","Copan",0.1,1,10
"Pseudorhodoplanes","Eswab",0,0,10
"Pseudorhodoplanes","Omni",0,0,10
"Pseudorhodoplanes","Puritan_buffer",0,0,10
"Pseudorhodoplanes","Puritan_gel",0.1,1,10
"Pseudoxanthomonas","Copan",0,0,10
"Pseudoxanthomonas","Eswab",0,0,10
"Pseudoxanthomonas","Omni",0,0,10
"Pseudoxanthomonas","Puritan_buffer",0,0,10
"Pseudoxanthomonas","Puritan_gel",0.1,1,10
"Psychroglaciecola","Copan",0,0,10
"Psychroglaciecola","Eswab",0.1,1,10
"Psychroglaciecola","Omni",0.2,2,10
"Psychroglaciecola","Puritan_buffer",0,0,10
"Psychroglaciecola","Puritan_gel",0,0,10
"Qipengyuania","Copan",0,0,10
"Qipengyuania","Eswab",0.1,1,10
"Qipengyuania","Omni",0.1,1,10
"Qipengyuania","Puritan_buffer",0.1,1,10
"Qipengyuania","Puritan_gel",0.2,2,10
"Ralstonia","Copan",0,0,10
"Ralstonia","Eswab",0.1,1,10
"Ralstonia","Omni",0,0,10
"Ralstonia","Puritan_buffer",0.1,1,10
"Ralstonia","Puritan_gel",0.1,1,10
"Raoultella","Copan",0,0,10
"Raoultella","Eswab",0,0,10
"Raoultella","Omni",0,0,10
"Raoultella","Puritan_buffer",0,0,10
"Raoultella","Puritan_gel",0.1,1,10
"Reyranella","Copan",0,0,10
"Reyranella","Eswab",0,0,10
"Reyranella","Omni",0,0,10
"Reyranella","Puritan_buffer",0.2,2,10
"Reyranella","Puritan_gel",0,0,10
"Rhizobiaceae_f","Copan",0.1,1,10
"Rhizobiaceae_f","Eswab",0.3,3,10
"Rhizobiaceae_f","Omni",0.3,3,10
"Rhizobiaceae_f","Puritan_buffer",0.2,2,10
"Rhizobiaceae_f","Puritan_gel",0.1,1,10
"Rhizorhapis","Copan",0,0,10
"Rhizorhapis","Eswab",0,0,10
"Rhizorhapis","Omni",0,0,10
"Rhizorhapis","Puritan_buffer",0,0,10
"Rhizorhapis","Puritan_gel",0.1,1,10
"Rhodobacteraceae_f","Copan",0,0,10
"Rhodobacteraceae_f","Eswab",0.1,1,10
"Rhodobacteraceae_f","Omni",0,0,10
"Rhodobacteraceae_f","Puritan_buffer",0,0,10
"Rhodobacteraceae_f","Puritan_gel",0,0,10
"Rhodococcus","Copan",0.2,2,10
"Rhodococcus","Eswab",0.4,4,10
"Rhodococcus","Omni",0.3,3,10
"Rhodococcus","Puritan_buffer",0.3,3,10
"Rhodococcus","Puritan_gel",0.3,3,10
"Rhodopseudomonas","Copan",0,0,10
"Rhodopseudomonas","Eswab",0,0,10
"Rhodopseudomonas","Omni",0.1,1,10
"Rhodopseudomonas","Puritan_buffer",0.1,1,10
"Rhodopseudomonas","Puritan_gel",0,0,10
"Rhodovarius","Copan",0,0,10
"Rhodovarius","Eswab",0.1,1,10
"Rhodovarius","Omni",0,0,10
"Rhodovarius","Puritan_buffer",0,0,10
"Rhodovarius","Puritan_gel",0,0,10
"Rickettsia","Copan",0,0,10
"Rickettsia","Eswab",0,0,10
"Rickettsia","Omni",0.1,1,10
"Rickettsia","Puritan_buffer",0,0,10
"Rickettsia","Puritan_gel",0,0,10
"Rickettsiella","Copan",0.1,1,10
"Rickettsiella","Eswab",0,0,10
"Rickettsiella","Omni",0,0,10
"Rickettsiella","Puritan_buffer",0.1,1,10
"Rickettsiella","Puritan_gel",0.1,1,10
"Rikenellaceae_RC9_gut_group","Copan",0,0,10
"Rikenellaceae_RC9_gut_group","Eswab",0,0,10
"Rikenellaceae_RC9_gut_group","Omni",0.1,1,10
"Rikenellaceae_RC9_gut_group","Puritan_buffer",0,0,10
"Rikenellaceae_RC9_gut_group","Puritan_gel",0,0,10
"Romboutsia","Copan",0,0,10
"Romboutsia","Eswab",0,0,10
"Romboutsia","Omni",0.1,1,10
"Romboutsia","Puritan_buffer",0.2,2,10
"Romboutsia","Puritan_gel",0.1,1,10
"Roseomonas","Copan",0.2,2,10
"Roseomonas","Eswab",0.3,3,10
"Roseomonas","Omni",0.2,2,10
"Roseomonas","Puritan_buffer",0.3,3,10
"Roseomonas","Puritan_gel",0.1,1,10
"Rothia","Copan",0.8,8,10
"Rothia","Eswab",0.7,7,10
"Rothia","Omni",0.6,6,10
"Rothia","Puritan_buffer",0.8,8,10
"Rothia","Puritan_gel",0.5,5,10
"Rubellimicrobium","Copan",0,0,10
"Rubellimicrobium","Eswab",0,0,10
"Rubellimicrobium","Omni",0.1,1,10
"Rubellimicrobium","Puritan_buffer",0,0,10
"Rubellimicrobium","Puritan_gel",0,0,10
"S5-A14a","Copan",0.2,2,10
"S5-A14a","Eswab",0,0,10
"S5-A14a","Omni",0,0,10
"S5-A14a","Puritan_buffer",0.1,1,10
"S5-A14a","Puritan_gel",0,0,10
"SH-PL14","Copan",0.1,1,10
"SH-PL14","Eswab",0,0,10
"SH-PL14","Omni",0,0,10
"SH-PL14","Puritan_buffer",0,0,10
"SH-PL14","Puritan_gel",0,0,10
"SM1A02","Copan",0,0,10
"SM1A02","Eswab",0,0,10
"SM1A02","Omni",0,0,10
"SM1A02","Puritan_buffer",0,0,10
"SM1A02","Puritan_gel",0.1,1,10
"SN8","Copan",0,0,10
"SN8","Eswab",0,0,10
"SN8","Omni",0,0,10
"SN8","Puritan_buffer",0,0,10
"SN8","Puritan_gel",0.1,1,10
"Saccharimonadaceae","Copan",0.1,1,10
"Saccharimonadaceae","Eswab",0.2,2,10
"Saccharimonadaceae","Omni",0.1,1,10
"Saccharimonadaceae","Puritan_buffer",0.1,1,10
"Saccharimonadaceae","Puritan_gel",0,0,10
"Saccharimonadaceae_f","Copan",0,0,10
"Saccharimonadaceae_f","Eswab",0,0,10
"Saccharimonadaceae_f","Omni",0,0,10
"Saccharimonadaceae_f","Puritan_buffer",0,0,10
"Saccharimonadaceae_f","Puritan_gel",0.1,1,10
"Saccharimonadales","Copan",0.1,1,10
"Saccharimonadales","Eswab",0.2,2,10
"Saccharimonadales","Omni",0.2,2,10
"Saccharimonadales","Puritan_buffer",0.1,1,10
"Saccharimonadales","Puritan_gel",0.2,2,10
"Saccharimonadales_o","Copan",0.2,2,10
"Saccharimonadales_o","Eswab",0,0,10
"Saccharimonadales_o","Omni",0.3,3,10
"Saccharimonadales_o","Puritan_buffer",0.2,2,10
"Saccharimonadales_o","Puritan_gel",0,0,10
"Salinicoccus","Copan",0,0,10
"Salinicoccus","Eswab",0,0,10
"Salinicoccus","Omni",0,0,10
"Salinicoccus","Puritan_buffer",0.1,1,10
"Salinicoccus","Puritan_gel",0,0,10
"Scardovia","Copan",0,0,10
"Scardovia","Eswab",0.1,1,10
"Scardovia","Omni",0.1,1,10
"Scardovia","Puritan_buffer",0,0,10
"Scardovia","Puritan_gel",0,0,10
"Schlegelella","Copan",0,0,10
"Schlegelella","Eswab",0,0,10
"Schlegelella","Omni",0.1,1,10
"Schlegelella","Puritan_buffer",0,0,10
"Schlegelella","Puritan_gel",0.1,1,10
"Shinella","Copan",0.2,2,10
"Shinella","Eswab",0,0,10
"Shinella","Omni",0.3,3,10
"Shinella","Puritan_buffer",0.2,2,10
"Shinella","Puritan_gel",0.1,1,10
"Skermanella","Copan",0.1,1,10
"Skermanella","Eswab",0,0,10
"Skermanella","Omni",0.1,1,10
"Skermanella","Puritan_buffer",0,0,10
"Skermanella","Puritan_gel",0.1,1,10
"Solobacterium","Copan",0.2,2,10
"Solobacterium","Eswab",0.1,1,10
"Solobacterium","Omni",0.2,2,10
"Solobacterium","Puritan_buffer",0,0,10
"Solobacterium","Puritan_gel",0.1,1,10
"Sphingobacterium","Copan",0.2,2,10
"Sphingobacterium","Eswab",0,0,10
"Sphingobacterium","Omni",0,0,10
"Sphingobacterium","Puritan_buffer",0.1,1,10
"Sphingobacterium","Puritan_gel",0.1,1,10
"Sphingobium","Copan",0.1,1,10
"Sphingobium","Eswab",0.3,3,10
"Sphingobium","Omni",0.2,2,10
"Sphingobium","Puritan_buffer",0.2,2,10
"Sphingobium","Puritan_gel",0,0,10
"Sphingomonadaceae_f","Copan",0.3,3,10
"Sphingomonadaceae_f","Eswab",0.7,7,10
"Sphingomonadaceae_f","Omni",0.3,3,10
"Sphingomonadaceae_f","Puritan_buffer",0.2,2,10
"Sphingomonadaceae_f","Puritan_gel",0.2,2,10
"Sphingomonas","Copan",0.3,3,10
"Sphingomonas","Eswab",0.4,4,10
"Sphingomonas","Omni",0.3,3,10
"Sphingomonas","Puritan_buffer",0.2,2,10
"Sphingomonas","Puritan_gel",0.4,4,10
"Sphingopyxis","Copan",0,0,10
"Sphingopyxis","Eswab",0.1,1,10
"Sphingopyxis","Omni",0.1,1,10
"Sphingopyxis","Puritan_buffer",0,0,10
"Sphingopyxis","Puritan_gel",0.1,1,10
"Spirosoma","Copan",0,0,10
"Spirosoma","Eswab",0,0,10
"Spirosoma","Omni",0.1,1,10
"Spirosoma","Puritan_buffer",0,0,10
"Spirosoma","Puritan_gel",0,0,10
"Spirosomaceae_f","Copan",0,0,10
"Spirosomaceae_f","Eswab",0,0,10
"Spirosomaceae_f","Omni",0.1,1,10
"Spirosomaceae_f","Puritan_buffer",0,0,10
"Spirosomaceae_f","Puritan_gel",0,0,10
"Sporomusa","Copan",0,0,10
"Sporomusa","Eswab",0.1,1,10
"Sporomusa","Omni",0,0,10
"Sporomusa","Puritan_buffer",0,0,10
"Sporomusa","Puritan_gel",0,0,10
"Sporosarcina","Copan",0,0,10
"Sporosarcina","Eswab",0,0,10
"Sporosarcina","Omni",0.1,1,10
"Sporosarcina","Puritan_buffer",0.2,2,10
"Sporosarcina","Puritan_gel",0.2,2,10
"Staphylococcus","Copan",1,10,10
"Staphylococcus","Eswab",1,10,10
"Staphylococcus","Omni",1,10,10
"Staphylococcus","Puritan_buffer",1,10,10
"Staphylococcus","Puritan_gel",1,10,10
"Stenotrophomonas","Copan",0.1,1,10
"Stenotrophomonas","Eswab",0,0,10
"Stenotrophomonas","Omni",0.1,1,10
"Stenotrophomonas","Puritan_buffer",0.2,2,10
"Stenotrophomonas","Puritan_gel",0.2,2,10
"Stomatobaculum","Copan",0.1,1,10
"Stomatobaculum","Eswab",0,0,10
"Stomatobaculum","Omni",0,0,10
"Stomatobaculum","Puritan_buffer",0,0,10
"Stomatobaculum","Puritan_gel",0,0,10
"Streptococcus","Copan",0.9,9,10
"Streptococcus","Eswab",0.8,8,10
"Streptococcus","Omni",1,10,10
"Streptococcus","Puritan_buffer",0.9,9,10
"Streptococcus","Puritan_gel",0.8,8,10
"Streptomyces","Copan",0.1,1,10
"Streptomyces","Eswab",0.1,1,10
"Streptomyces","Omni",0,0,10
"Streptomyces","Puritan_buffer",0.1,1,10
"Streptomyces","Puritan_gel",0,0,10
"TM7a","Copan",0.2,2,10
"TM7a","Eswab",0.2,2,10
"TM7a","Omni",0.2,2,10
"TM7a","Puritan_buffer",0.2,2,10
"TM7a","Puritan_gel",0.2,2,10
"TM7x","Copan",0.1,1,10
"TM7x","Eswab",0,0,10
"TM7x","Omni",0,0,10
"TM7x","Puritan_buffer",0,0,10
"TM7x","Puritan_gel",0,0,10
"Taibaiella","Copan",0,0,10
"Taibaiella","Eswab",0,0,10
"Taibaiella","Omni",0,0,10
"Taibaiella","Puritan_buffer",0.1,1,10
"Taibaiella","Puritan_gel",0,0,10
"Tepidimonas","Copan",0.2,2,10
"Tepidimonas","Eswab",0.1,1,10
"Tepidimonas","Omni",0.1,1,10
"Tepidimonas","Puritan_buffer",0,0,10
"Tepidimonas","Puritan_gel",0,0,10
"Terrabacter","Copan",0,0,10
"Terrabacter","Eswab",0.1,1,10
"Terrabacter","Omni",0,0,10
"Terrabacter","Puritan_buffer",0,0,10
"Terrabacter","Puritan_gel",0,0,10
"Tessaracoccus","Copan",0,0,10
"Tessaracoccus","Eswab",0.1,1,10
"Tessaracoccus","Omni",0,0,10
"Tessaracoccus","Puritan_buffer",0,0,10
"Tessaracoccus","Puritan_gel",0,0,10
"Thauera","Copan",0,0,10
"Thauera","Eswab",0,0,10
"Thauera","Omni",0,0,10
"Thauera","Puritan_buffer",0,0,10
"Thauera","Puritan_gel",0.1,1,10
"Thermoleophilum","Copan",0,0,10
"Thermoleophilum","Eswab",0.1,1,10
"Thermoleophilum","Omni",0,0,10
"Thermoleophilum","Puritan_buffer",0,0,10
"Thermoleophilum","Puritan_gel",0,0,10
"Thermus","Copan",0.1,1,10
"Thermus","Eswab",0.1,1,10
"Thermus","Omni",0.2,2,10
"Thermus","Puritan_buffer",0,0,10
"Thermus","Puritan_gel",0,0,10
"Thiopseudomonas","Copan",0,0,10
"Thiopseudomonas","Eswab",0.1,1,10
"Thiopseudomonas","Omni",0,0,10
"Thiopseudomonas","Puritan_buffer",0,0,10
"Thiopseudomonas","Puritan_gel",0,0,10
"Tissierella","Copan",0,0,10
"Tissierella","Eswab",0,0,10
"Tissierella","Omni",0.1,1,10
"Tissierella","Puritan_buffer",0,0,10
"Tissierella","Puritan_gel",0.1,1,10
"Treponema","Copan",0.1,1,10
"Treponema","Eswab",0,0,10
"Treponema","Omni",0,0,10
"Treponema","Puritan_buffer",0,0,10
"Treponema","Puritan_gel",0.1,1,10
"Tsukamurella","Copan",0.2,2,10
"Tsukamurella","Eswab",0,0,10
"Tsukamurella","Omni",0.1,1,10
"Tsukamurella","Puritan_buffer",0,0,10
"Tsukamurella","Puritan_gel",0.1,1,10
"Turicibacter","Copan",0,0,10
"Turicibacter","Eswab",0.1,1,10
"Turicibacter","Omni",0.1,1,10
"Turicibacter","Puritan_buffer",0.1,1,10
"Turicibacter","Puritan_gel",0.1,1,10
"Varibaculum","Copan",0,0,10
"Varibaculum","Eswab",0,0,10
"Varibaculum","Omni",0,0,10
"Varibaculum","Puritan_buffer",0,0,10
"Varibaculum","Puritan_gel",0.1,1,10
"Variovorax","Copan",0,0,10
"Variovorax","Eswab",0,0,10
"Variovorax","Omni",0,0,10
"Variovorax","Puritan_buffer",0.1,1,10
"Variovorax","Puritan_gel",0,0,10
"Veillonella","Copan",0.1,1,10
"Veillonella","Eswab",0,0,10
"Veillonella","Omni",0,0,10
"Veillonella","Puritan_buffer",0,0,10
"Veillonella","Puritan_gel",0,0,10
"Vulcaniibacterium","Copan",0,0,10
"Vulcaniibacterium","Eswab",0,0,10
"Vulcaniibacterium","Omni",0,0,10
"Vulcaniibacterium","Puritan_buffer",0.1,1,10
"Vulcaniibacterium","Puritan_gel",0,0,10
"Weeksellaceae_f","Copan",0,0,10
"Weeksellaceae_f","Eswab",0.1,1,10
"Weeksellaceae_f","Omni",0,0,10
"Weeksellaceae_f","Puritan_buffer",0,0,10
"Weeksellaceae_f","Puritan_gel",0,0,10
"Williamsia","Copan",0.4,4,10
"Williamsia","Eswab",0.7,7,10
"Williamsia","Omni",0.6,6,10
"Williamsia","Puritan_buffer",0.5,5,10
"Williamsia","Puritan_gel",0.5,5,10
"Xanthobacteraceae_f","Copan",0.2,2,10
"Xanthobacteraceae_f","Eswab",0.4,4,10
"Xanthobacteraceae_f","Omni",0.2,2,10
"Xanthobacteraceae_f","Puritan_buffer",0.1,1,10
"Xanthobacteraceae_f","Puritan_gel",0.3,3,10
"Xanthomonadaceae_f","Copan",0,0,10
"Xanthomonadaceae_f","Eswab",0.1,1,10
"Xanthomonadaceae_f","Omni",0,0,10
"Xanthomonadaceae_f","Puritan_buffer",0,0,10
"Xanthomonadaceae_f","Puritan_gel",0,0,10
"Xanthomonas","Copan",0.1,1,10
"Xanthomonas","Eswab",0,0,10
"Xanthomonas","Omni",0.1,1,10
"Xanthomonas","Puritan_buffer",0.1,1,10
"Xanthomonas","Puritan_gel",0,0,10
"Xenophilus","Copan",0.1,1,10
"Xenophilus","Eswab",0,0,10
"Xenophilus","Omni",0,0,10
"Xenophilus","Puritan_buffer",0.1,1,10
"Xenophilus","Puritan_gel",0.1,1,10
"Yimella","Copan",0.2,2,10
"Yimella","Eswab",0.3,3,10
"Yimella","Omni",0.2,2,10
"Yimella","Puritan_buffer",0.2,2,10
"Yimella","Puritan_gel",0.2,2,10
"[Eubacterium]_brachy_group","Copan",0.2,2,10
"[Eubacterium]_brachy_group","Eswab",0.1,1,10
"[Eubacterium]_brachy_group","Omni",0,0,10
"[Eubacterium]_brachy_group","Puritan_buffer",0.2,2,10
"[Eubacterium]_brachy_group","Puritan_gel",0,0,10
"[Eubacterium]_nodatum_group","Copan",0,0,10
"[Eubacterium]_nodatum_group","Eswab",0.1,1,10
"[Eubacterium]_nodatum_group","Omni",0.1,1,10
"[Eubacterium]_nodatum_group","Puritan_buffer",0.1,1,10
"[Eubacterium]_nodatum_group","Puritan_gel",0.1,1,10
"[Eubacterium]_saphenum_group","Copan",0,0,10
"[Eubacterium]_saphenum_group","Eswab",0,0,10
"[Eubacterium]_saphenum_group","Omni",0.1,1,10
"[Eubacterium]_saphenum_group","Puritan_buffer",0.1,1,10
"[Eubacterium]_saphenum_group","Puritan_gel",0,0,10
