"filter_id","filter","taxonomic_level","feature_id","exclusive_type","feature_reads","feature_read_pct","participant_prevalence"
"no_filter","No additional filter","ASV","13f567006e732891e3987347efdbe76d","Type 1",2,0.000236085977791392,1
"no_filter","No additional filter","ASV","2e914ff49c78ff61df377999bbc52463","Type 2",28,0.00330520368907949,1
"no_filter","No additional filter","ASV","1e03fdb868a49592c42413838bb69e55","Type 2",16,0.00188868782233114,1
"no_filter","No additional filter","ASV","ac4224d32dea1c7253ed5070a65a1b3e","Type 1",4,0.000472171955582784,1
"no_filter","No additional filter","ASV","37640dc68ceb2f67423497241ff862f3","Type 5",6,0.000708257933374176,1
"no_filter","No additional filter","ASV","e3eb5fa91441cd8ef5444d1e4b20065b","Type 4",3,0.000354128966687088,1
"no_filter","No additional filter","ASV","3859ddfb4885964844ff7ada513a2597","Type 4",17,0.00200673081122683,1
"no_filter","No additional filter","ASV","e9e0f8afe4d497d9bc919102fefbcbb9","Type 5",7,0.000826300922269872,1
"no_filter","No additional filter","ASV","892feb56530bc24bd758934e83f18b92","Type 3",18,0.00212477380012253,1
"no_filter","No additional filter","ASV","8da656b93b56d27656de7516bf314565","Type 4",13,0.00153455885564405,1
"no_filter","No additional filter","ASV","d8e59a58b1954757c26b879a9829c4a7","Type 5",4,0.000472171955582784,1
"no_filter","No additional filter","ASV","c456d3718aa91dcf3ef7d19a8499d593","Type 5",2,0.000236085977791392,1
"no_filter","No additional filter","ASV","c14e1054ccbbabd5f6ed8a6dab092c54","Type 5",59,0.00696453634484607,1
"no_filter","No additional filter","ASV","f0738a1a5f7ea368f830986c618e4139","Type 3",5,0.00059021494447848,1
"no_filter","No additional filter","ASV","83c49c99a3b99ccc3325d674e7e7947e","Type 5",6,0.000708257933374176,1
"no_filter","No additional filter","ASV","5d3f0656e47a33688c5d82c089cee67a","Type 3",37,0.00436759058914075,1
"no_filter","No additional filter","ASV","e523791eca087d243d36477d28789915","Type 2",3,0.000354128966687088,1
"no_filter","No additional filter","ASV","2e39b1336acf4f37c200d5b9e2f75d51","Type 2",3,0.000354128966687088,1
"no_filter","No additional filter","ASV","bcd0a153d188ac7b99c551d978ed960c","Type 1",11,0.00129847287785266,1
"no_filter","No additional filter","ASV","94fbb4b0771a91a921b26ff604e962c3","Type 2",20,0.00236085977791392,1
"no_filter","No additional filter","ASV","7f57656c2903cc0e4a5413209d4da1af","Type 5",260,0.030691177112881,1
"no_filter","No additional filter","ASV","3774b70d820efee976a6eed744545424","Type 1",5,0.00059021494447848,1
"no_filter","No additional filter","ASV","163dd3c92e5dd035f7bf7ab3da86f678","Type 4",6,0.000708257933374176,1
"no_filter","No additional filter","ASV","2a330b768030ad0127d78ae9f27732e8","Type 3",3,0.000354128966687088,1
"no_filter","No additional filter","ASV","784dfe428331c049d5a0a20fd7a939fe","Type 5",203,0.0239627267458263,1
"no_filter","No additional filter","ASV","1b5b4ce9f91bd790f3a64a64d5f7729b","Type 1",6,0.000708257933374176,1
"no_filter","No additional filter","ASV","1ae95ce3e36377cc8659e64be3ab084e","Type 1",64,0.00755475128932455,1
"no_filter","No additional filter","ASV","7f8c11f5c31010b6715c3ca9ef6200fa","Type 5",146,0.0172342763787716,1
"no_filter","No additional filter","ASV","94ca7b2b5ab843ab7b0c695d62f39e20","Type 5",4,0.000472171955582784,1
"no_filter","No additional filter","ASV","13ce8e79125adaa98c679516562ef5c1","Type 5",79,0.00932539612275999,1
"no_filter","No additional filter","ASV","2bf330a9022d84769b9614e94b2f538c","Type 1",12,0.00141651586674835,1
"no_filter","No additional filter","ASV","ebd2302aa5ede11e50f02551f053e107","Type 4",74,0.00873518117828151,1
"no_filter","No additional filter","ASV","4255f97aa6e37ce703f23fa0ba17cabf","Type 4",68,0.00802692324490733,1
"no_filter","No additional filter","ASV","5eb228bf1c42062f4a1bb7483a4d7587","Type 5",132,0.0155816745342319,1
"no_filter","No additional filter","ASV","6eaafdb42f2224a2c5efcbfe3bedb458","Type 5",210,0.0247890276680962,1
"no_filter","No additional filter","ASV","aa6114f21305efc108a797e0f11b1c6b","Type 2",5,0.00059021494447848,1
"no_filter","No additional filter","ASV","e0149147e75d7ce43fb933adea48ae7d","Type 4",27,0.00318716070018379,1
"no_filter","No additional filter","ASV","12166a5b0d932270f5123713f39afc4f","Type 4",16,0.00188868782233114,1
"no_filter","No additional filter","ASV","4796c398c36fe1a5150f394dacfdc43a","Type 4",21,0.00247890276680962,1
"no_filter","No additional filter","ASV","ac11709ab52cb834e916bfa1567a05cf","Type 5",32,0.00377737564466227,1
"no_filter","No additional filter","ASV","b4b5bc5494038ab50066faf48f1f6c4d","Type 2",24,0.0028330317334967,1
"no_filter","No additional filter","ASV","576f3545195a38de7df860d7da71a63f","Type 1",7,0.000826300922269872,1
